station,valid,wxcodes,metar
MCO,2025-06-17 00:53,M,KMCO 170053Z 14010KT 10SM FEW040 SCT060 SCT100 29/23 A3005 RMK AO2 SLP173 CB DSNT NW T02940228
MCO,2025-06-17 01:53,M,KMCO 170153Z 14011KT 10SM FEW045 FEW065 SCT110 29/22 A3006 RMK AO2 LTG DSNT NW SLP177 CB DSNT NW T02890222 $
MCO,2025-06-17 02:53,M,KMCO 170253Z 15010KT 10SM FEW040 FEW120 28/22 A3009 RMK AO2 SLP187 OCNL LTGIC DSNT NW CB DSNT NW T02780217 53016 $
MCO,2025-06-17 03:53,M,KMCO 170353Z 15010KT 10SM FEW060 FEW120 27/22 A3010 RMK AO2 SLP191 T02670217 $
MCO,2025-06-17 04:53,M,KMCO 170453Z 19007KT 10SM FEW040 SCT065 SCT250 27/22 A3011 RMK AO2 SLP194 OCNL LTGIC DSNT N CB DSNT N T02670222 403440239 $
MCO,2025-06-17 05:53,M,KMCO 170553Z 17006KT 10SM FEW038 FEW065 SCT250 26/22 A3010 RMK AO2 SLP190 OCNL LTGIC DSNT N CB DSNT N T02560222 10306 20256 50004 $
MCO,2025-06-17 06:53,M,KMCO 170653Z 17003KT 10SM FEW040 FEW250 25/22 A3009 RMK AO2 SLP189 OCNL LTGIC DSNT N CB DSNT N T02500222 $
MCO,2025-06-17 07:53,M,KMCO 170753Z 15005KT 10SM FEW250 24/23 A3008 RMK AO2 SLP184 T02440228 $
MCO,2025-06-17 08:53,M,KMCO 170853Z 16006KT 10SM CLR 24/23 A3008 RMK AO2 SLP183 T02440233 56007 $
MCO,2025-06-17 09:53,M,KMCO 170953Z 19005KT 10SM FEW250 24/23 A3010 RMK AO2 SLP191 T02440233 $
MCO,2025-06-17 10:53,M,KMCO 171053Z 17003KT 10SM FEW050 FEW250 24/23 A3012 RMK AO2 SLP197 T02390233 $
MCO,2025-06-17 11:53,M,KMCO 171153Z 18005KT 10SM FEW250 26/24 A3012 RMK AO2 SLP199 T02560239 10256 20239 51016
MCO,2025-06-17 12:53,M,KMCO 171253Z 23007KT 10SM FEW040 FEW250 28/24 A3013 RMK AO2 SLP202 T02780239
MCO,2025-06-17 13:53,M,KMCO 171353Z 18006KT 10SM FEW040 FEW250 29/23 A3013 RMK AO2 SLP202 T02890228
MCO,2025-06-17 14:53,M,KMCO 171453Z 19010KT 10SM FEW040 FEW200 FEW250 30/21 A3013 RMK AO2 SLP202 T03000206 51003
MCO,2025-06-17 15:53,M,KMCO 171553Z 18009KT 10SM FEW030 FEW200 FEW250 32/22 A3013 RMK AO2 SLP202 T03170217
MCO,2025-06-17 16:53,M,KMCO 171653Z 15009KT 10SM FEW030 FEW200 FEW250 33/21 A3012 RMK AO2 SLP197 T03280211
MCO,2025-06-17 17:53,M,KMCO 171753Z VRB05KT 10SM FEW040 FEW250 33/21 A3011 RMK AO2 SLP193 T03330206 10339 20256 58009
MCO,2025-06-17 18:53,M,KMCO 171853Z 12007KT 10SM FEW015 SCT055 SCT250 34/21 A3008 RMK AO2 SLP184 FU FEW015 T03390206
MCO,2025-06-17 19:53,M,KMCO 171953Z 19004KT 10SM SCT055 BKN250 33/21 A3009 RMK AO2 SLP188 T03330211
MCO,2025-06-17 20:53,M,KMCO 172053Z COR 17003KT 10SM SCT060 BKN250 33/21 A3008 RMK AO2 SLP183 T03330206 56009
MCO,2025-06-17 21:42,+RA,KMCO 172142Z 11025G40KT 1/2SM R35L/1800V4500FT +RA SCT021 BKN035 OVC110 26/23 A3009 RMK AO2 PK WND 11040/2139 LTG DSNT S RAB29 PRESRR CB DSNT S P0029 T02610233
MCO,2025-06-17 21:49,+TSRA FG,KMCO 172149Z 06010G35KT 030V100 1/2SM R35L/1600VP6000FT +TSRA FG SCT021CB BKN035 OVC110 26/23 A3011 RMK AO2 PK WND 11040/2139 LTG DSNT S RAB29 TSB43 OCNL LTGICCG S TS S MOV N P0059
