"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-01","1.2",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"23.9",",,W","5.6",",,W",,,"  360",",,W","  350",",,W",,,,,"6.3",",,W","8.1",",,W",,,,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-02","1.0",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"27.2",",,W","7.8",",,W",,,"  170",",,W","  170",",,W",,,,,"4.0",",,W","6.3",",,W","    1",",,W","    1",",,W",,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-03","1.4",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"31.7",",,W","9.4",",,W",,,"  230",",,W","  200",",,W",,,,,"6.7",",,W","9.4",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-04","3.0",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"31.1",",,W","16.7",",,W",,,"  190",",,W","  210",",,W",,,,,"8.9",",,W","12.5",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-05","0.9",",,W",,,,,,,"6.1",",,W,2400",,,,,,,"27.8",",,W","17.2",",,W",,,"  280",",,W","  260",",,W",,,,,"7.6",",,W","9.8",",,W","    1",",,W","    1",",,W","    1",",,W",,,"    1",",,W"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-06","2.4",",,W",,,,,,,"49.8",",,W,2400",,,,,,,"30.0",",,W","19.4",",,W",,,"  200",",,W","  160",",,W",,,,,"13.9",",,W","20.1",",,W","    1",",,W","    1",",,W","    1",",,W",,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-07","0.5",",,W",,,,,,,"9.1",",,W,2400",,,,,,,"26.1",",,W","20.0",",,W",,,"  170",",,W","  150",",,W",,,,,"4.0",",,W","5.4",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-08","2.4",",,W",,,,,,,"8.4",",,W,2400",,,,,,,"26.1",",,W","17.8",",,W",,,"  290",",,W","  290",",,W",,,,,"9.8",",,W","14.8",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-09","2.6",",,W",,,,,,,"0.5",",,W,2400",,,,,,,"23.9",",,W","16.7",",,W",,,"  220",",,W","  230",",,W",,,,,"8.1",",,W","11.6",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-10","1.8",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"26.1",",,W","13.3",",,W",,,"  270",",,W","  240",",,W",,,,,"7.2",",,W","10.7",",,W","    1",",,W","    1",",,W",,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-11","1.5",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"28.9",",,W","12.2",",,W",,,"  230",",,W","  200",",,W",,,,,"5.8",",,W","7.6",",,W","    1",",,W","    1",",,W",,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-12","0.7",",,W",,,,,,,"0.0",",,W,2400",,,,,,,"30.6",",,W","13.9",",,W",,,"  200",",,W","  190",",,W",,,,,"5.4",",,W","6.3",",,W","    1",",,W","    1",",,W",,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-13","1.3",",,W",,,,,,,"6.6",",,W,2400",,,,,,,"27.2",",,W","19.4",",,W",,,"  140",",,W","  130",",,W",,,,,"4.0",",,W","5.8",",,W","    1",",,W",,,"    1",",,W",,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-14","2.1",",,W",,,,,,,"2.3",",,W,2400",,,,,,,"28.9",",,W","20.0",",,W",,,"  180",",,W","  170",",,W",,,,,"6.3",",,W","7.6",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-15","2.0",",,W",,,,,,,"4.1",",,W,2400",,,,,,,"29.4",",,W","20.6",",,W",,,"  350",",,W","  320",",,W",,,,,"6.3",",,W","8.9",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-16","0.6",",,W",,,,,,,"8.4",",,W,2400",,,,,,,"30.0",",,W","18.9",",,W",,,"  350",",,W","  350",",,W",,,,,"4.5",",,W","5.4",",,W","    1",",,W",,,,,,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-17","2.4",",,W",,,,,,,"5.8",",,W,2400",,,,,,,"27.8",",,W","20.6",",,W",,,"  250",",,W","  230",",,W",,,,,"7.2",",,W","8.5",",,W","    1",",,W",,,"    1",",,W",,,,
"USW00093812","CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US","39.106","-84.41609","144.8","2025-06-18","4.2",",,W",,,,,,,"45.0",",,W,2400",,,,,,,"31.1",",,W","20.0",",,W",,,"  250",",,W","  240",",,W",,,,,"19.7",",,W","30.4",",,W","    1",",,W",,,"    1",",,W",,,"    1",",,W"
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-06",,,,,,,,,"2.3",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-07",,,,,,,,,"8.6",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-08",,,,,,,,,"11.7",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-09",,,,,,,,,"1.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-14",,,,,,,,,"2.8",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1OHWR0030","MASON 4.3 SSW, OH US","39.300429","-84.329996","265.5","2025-06-17",,,,,,,,,"6.9",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00093814","CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT, KY US","39.04443","-84.67241","262.4","2025-06-01","2.2",",,W",,,,,,,"0.0",",,W,2400","0.0",",,W,2400","0.0",",,W,2400",,,"21.7",",,W","6.1",",,W",,,"  330",",,W","  360",",,W",,,,,"6.7",",,W","10.7",",,W",,,,,,,,,,
