#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2025-06-19 00:00:00+00:00 2025-06-20 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
TEB,2025-06-19 00:51,-74.0562,40.8590,3.00,75.00,70.00,84.49,210.00,6.00,T,29.85,1010.80,10.00,null,SCT,SCT,BKN,null,3900.00,4800.00,8000.00,null,null,null,null,null,null,null,null,75.00,KTEB 190051Z COR 21006KT 10SM SCT039 SCT048 BKN080 24/21 A2985 RMK AO2 RAB06E40 SLP108 P0000 T02390211 $,null
TEB,2025-06-19 01:51,-74.0562,40.8590,3.00,75.00,69.00,81.65,230.00,4.00,T,29.86,1011.00,10.00,null,FEW,FEW,SCT,null,3500.00,8000.00,10000.00,null,null,null,null,null,null,null,null,75.00,KTEB 190151Z 23004KT 10SM FEW035 FEW080 SCT100 24/21 A2986 RMK AO2 RAB00E03 SLP110 P0000 T02390206 $,null
TEB,2025-06-19 02:51,-74.0562,40.8590,3.00,77.00,69.00,76.41,170.00,7.00,0.00,29.85,1010.80,10.00,null,SCT,SCT,BKN,null,3300.00,4100.00,9000.00,null,null,null,null,null,null,null,null,77.00,KTEB 190251Z 17007KT 10SM SCT033 SCT041 BKN090 25/21 A2985 RMK AO2 SLP108 60000 T02500206 50005 $,null
TEB,2025-06-19 03:51,-74.0562,40.8590,3.00,73.00,69.00,87.31,0.00,0.00,0.00,29.85,1010.80,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73.00,KTEB 190351Z 00000KT 10SM CLR 23/21 A2985 RMK AO2 SLP108 T02280206 $,null
TEB,2025-06-19 04:51,-74.0562,40.8590,3.00,72.00,69.00,90.30,190.00,3.00,0.00,29.83,1010.10,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72.00,KTEB 190451Z 19003KT 10SM CLR 22/21 A2983 RMK AO2 SLP101 T02220206 403000189 $,null
TEB,2025-06-19 05:51,-74.0562,40.8590,3.00,71.00,69.00,93.41,180.00,3.00,0.00,29.81,1009.50,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71.00,KTEB 190551Z 18003KT 10SM CLR 22/21 A2981 RMK AO2 SLP095 60000 T02170206 10283 20217 58013 $,null
TEB,2025-06-19 06:30,-74.0562,40.8590,3.00,71.00,69.00,93.41,240.00,3.00,0.00,29.83,null,10.00,null,SCT,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,71.00,KTEB 190630Z 24003KT 10SM SCT008 22/21 A2983 RMK AO2 T02170206 $,null
TEB,2025-06-19 06:39,-74.0562,40.8590,3.00,71.00,70.00,96.66,220.00,4.00,0.00,29.83,null,10.00,null,BKN,null,null,null,800.00,null,null,null,null,null,null,null,null,null,null,71.00,KTEB 190639Z 22004KT 10SM BKN008 22/21 A2983 RMK AO2 T02170211 $,null
TEB,2025-06-19 06:51,-74.0562,40.8590,3.00,71.00,69.00,93.41,170.00,3.00,0.00,29.83,1010.10,5.00,null,OVC,null,null,null,700.00,null,null,null,BR,null,null,null,null,null,null,71.00,KTEB 190651Z 17003KT 5SM BR OVC007 22/21 A2983 RMK AO2 CIG 005V009 SLP101 T02170206 $,null
TEB,2025-06-19 07:13,-74.0562,40.8590,3.00,71.00,69.00,93.41,0.00,0.00,0.00,29.83,null,10.00,null,SCT,SCT,BKN,null,600.00,1200.00,4200.00,null,null,null,null,null,null,null,null,71.00,KTEB 190713Z 00000KT 10SM SCT006 SCT012 BKN042 22/21 A2983 RMK AO2 T02170206 $,null
TEB,2025-06-19 07:36,-74.0562,40.8590,3.00,71.00,69.00,93.41,150.00,5.00,0.00,29.83,null,5.00,null,BKN,BKN,BKN,null,1200.00,2000.00,11000.00,null,BR,null,null,null,null,null,null,71.00,KTEB 190736Z 15005KT 5SM BR BKN012 BKN020 BKN110 22/21 A2983 RMK AO2 T02170206 $,null
TEB,2025-06-19 07:51,-74.0562,40.8590,3.00,71.00,70.00,96.66,160.00,3.00,0.00,29.82,1009.90,5.00,null,BKN,OVC,null,null,1000.00,10000.00,null,null,BR,null,null,null,null,null,null,71.00,KTEB 190751Z 16003KT 5SM BR BKN010 OVC100 22/21 A2982 RMK AO2 SLP099 T02170211 $,null
TEB,2025-06-19 08:17,-74.0562,40.8590,3.00,71.00,69.00,93.41,0.00,0.00,0.00,29.83,null,10.00,null,SCT,null,null,null,1000.00,null,null,null,null,null,null,null,null,null,null,71.00,KTEB 190817Z 00000KT 10SM SCT010 22/21 A2983 RMK AO2 T02170206 $,null
TEB,2025-06-19 08:51,-74.0562,40.8590,3.00,71.00,69.00,93.41,180.00,3.00,0.00,29.83,1010.10,9.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,71.00,KTEB 190851Z 18003KT 9SM CLR 22/21 A2983 RMK AO2 SLP101 T02170206 51006 $,null
TEB,2025-06-19 09:51,-74.0562,40.8590,3.00,70.00,69.00,96.64,190.00,3.00,0.00,29.83,1010.20,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70.00,KTEB 190951Z 19003KT 10SM CLR 21/21 A2983 RMK AO2 SLP102 T02110206 $,null
TEB,2025-06-19 10:51,-74.0562,40.8590,3.00,73.00,72.00,96.69,210.00,4.00,0.00,29.84,1010.40,10.00,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,73.00,KTEB 191051Z 21004KT 10SM CLR 23/22 A2984 RMK AO2 SLP104 T02280222 $,null
