station,valid,lon,lat,elevation,wxcodes,metar
BNA,2025-06-24 00:53,-86.6892,36.1189,180.00,RA BR,KBNA 240053Z 32017G36KT 5SM RA BR SCT060TCU BKN100 28/20 A3017 RMK AO2 PK WND 14036/0043 RAB42 SLP209 TCU OHD P0023 T02780200
BNA,2025-06-24 01:53,-86.6892,36.1189,180.00,M,KBNA 240153Z 00000KT 10SM FEW044 FEW100 26/23 A3017 RMK AO2 RAE03 SLP208 P0000 T02610228
BNA,2025-06-24 02:53,-86.6892,36.1189,180.00,M,KBNA 240253Z 16003KT 10SM CLR 26/23 A3017 RMK AO2 SLP208 60023 T02610228 51002
BNA,2025-06-24 03:53,-86.6892,36.1189,180.00,M,KBNA 240353Z 17003KT 10SM CLR 27/23 A3019 RMK AO2 SLP213 T02670228
BNA,2025-06-24 04:53,-86.6892,36.1189,180.00,M,KBNA 240453Z 18003KT 10SM FEW060 27/23 A3020 RMK AO2 SLP219 T02670228
BNA,2025-06-24 05:53,-86.6892,36.1189,180.00,M,KBNA 240553Z 17003KT 10SM CLR 26/23 A3022 RMK AO2 SLP225 60023 T02610228 10333 20256 403610228 52016
BNA,2025-06-24 06:53,-86.6892,36.1189,180.00,M,KBNA 240653Z 00000KT 10SM CLR 26/22 A3023 RMK AO2 SLP229 T02560222
BNA,2025-06-24 07:53,-86.6892,36.1189,180.00,M,KBNA 240753Z 00000KT 10SM CLR 26/22 A3023 RMK AO2 SLP227 T02560222
BNA,2025-06-24 08:53,-86.6892,36.1189,180.00,M,KBNA 240853Z 00000KT 10SM CLR 25/22 A3023 RMK AO2 SLP226 T02500222 50002
BNA,2025-06-24 09:53,-86.6892,36.1189,180.00,M,KBNA 240953Z 17004KT 10SM CLR 24/22 A3023 RMK AO2 SLP230 T02440222
BNA,2025-06-24 10:53,-86.6892,36.1189,180.00,M,KBNA 241053Z 00000KT 10SM CLR 24/22 A3024 RMK AO2 SLP232 T02440217
BNA,2025-06-24 11:53,-86.6892,36.1189,180.00,M,KBNA 241153Z 00000KT 10SM CLR 26/22 A3025 RMK AO2 SLP235 70023 T02610222 10261 20239 53008
BNA,2025-06-24 12:53,-86.6892,36.1189,180.00,M,KBNA 241253Z 00000KT 10SM CLR 28/22 A3026 RMK AO2 SLP239 T02830222
BNA,2025-06-24 13:53,-86.6892,36.1189,180.00,M,KBNA 241353Z 00000KT 10SM FEW200 31/23 A3025 RMK AO2 SLP236 T03060228
BNA,2025-06-24 14:53,-86.6892,36.1189,180.00,M,KBNA 241453Z 17003KT 10SM FEW035 SCT250 32/23 A3026 RMK AO2 SLP238 T03170228 53003
BNA,2025-06-24 15:53,-86.6892,36.1189,180.00,M,KBNA 241553Z 17003KT 10SM FEW037 33/22 A3026 RMK AO2 SLP238 T03280222
BNA,2025-06-24 16:53,-86.6892,36.1189,180.00,M,KBNA 241653Z 19004KT 10SM FEW040TCU 34/22 A3025 RMK AO2 SLP237 TCU S-W-NW T03390217
BNA,2025-06-24 17:53,-86.6892,36.1189,180.00,M,KBNA 241753Z 13005KT 10SM FEW048TCU 34/22 A3023 RMK AO2 SLP229 TCU SW-W T03440217 10350 20261 58009
BNA,2025-06-24 18:53,-86.6892,36.1189,180.00,M,KBNA 241853Z 15003KT 10SM SCT050TCU 34/21 A3021 RMK AO2 SLP223 TCU SE-S-NW T03440211
BNA,2025-06-24 19:53,-86.6892,36.1189,180.00,M,KBNA 241953Z 15005KT 10SM SCT055TCU SCT090 34/22 A3020 RMK AO2 SLP217 TCU NW T03390217
BNA,2025-06-24 20:13,-86.6892,36.1189,180.00,TS,KBNA 242013Z COR VRB04KT 10SM TS SCT060CB SCT120 34/21 A3019 RMK AO2 TSB05 OCNL LTGCA NW TS NW NO MOV T03390211
BNA,2025-06-24 20:53,-86.6892,36.1189,180.00,TS,KBNA 242053Z 33007G15KT 10SM TS FEW034 BKN060CB BKN150 31/22 A3020 RMK AO2 SLP217 TSB05 OCNL LTGCGCA NW TS NW NO MOV T03060217 56013
BNA,2025-06-24 21:21,-86.6892,36.1189,180.00,M,KBNA 242121Z 33006KT 10SM FEW038 SCT060 BKN150 31/20 A3019 RMK AO2 TSE15 TS DSPTD T03060200
BNA,2025-06-24 21:53,-86.6892,36.1189,180.00,M,KBNA 242153Z 32007KT 10SM FEW070 SCT120 SCT250 33/21 A3019 RMK AO2 TSE15 SLP214 T03330211
BNA,2025-06-24 22:53,-86.6892,36.1189,180.00,M,KBNA 242253Z 34007KT 10SM FEW065 FEW120 SCT250 34/22 A3018 RMK AO2 SLP211 TCU DSNT N T03440222
BNA,2025-06-24 23:53,-86.6892,36.1189,180.00,M,KBNA 242353Z 26004KT 10SM FEW070 FEW250 34/22 A3017 RMK AO2 SLP208 CB DSNT SE T03390217 10356 20300 58009
