station,valid,lon,lat,elevation,wxcodes,metar
BNA,2026-04-28 00:53,-86.6892,36.1189,180.00,M,KBNA 280053Z 19016G27KT 10SM SCT047 BKN060 BKN250 26/16 A2988 RMK AO2 PK WND 18027/0046 SLP111 T02610156 $
BNA,2026-04-28 01:53,-86.6892,36.1189,180.00,M,KBNA 280153Z 17017G26KT 10SM SCT048 BKN065 BKN250 26/16 A2989 RMK AO2 PK WND 18026/0142 SLP114 T02560156 $
BNA,2026-04-28 02:53,-86.6892,36.1189,180.00,M,KBNA 280253Z COR 18014G20KT 10SM SCT041 BKN050 BKN250 26/16 A2990 RMK AO2 OCNL LTGIC DSNT NW CB DSNTNW SLP120 T02560156 53012 $
BNA,2026-04-28 03:53,-86.6892,36.1189,180.00,M,KBNA 280353Z 19018G29KT 10SM BKN041 BKN050 BKN250 25/16 A2991 RMK AO2 PK WND 21033/0343 SLP120 OCNL LTGIC DSNT W CB DSNT W T02500161 $
BNA,2026-04-28 04:53,-86.6892,36.1189,180.00,M,KBNA 280453Z 20018G29KT 10SM FEW050 FEW080 OVC250 24/16 A2990 RMK AO2 PK WND 20033/0408 SLP118 FRQ LTGICCC SW-NE CB DSNT SW-NE T02440161 $
BNA,2026-04-28 05:22,-86.6892,36.1189,180.00,-TSRA,KBNA 280522Z 20015G32KT 9SM -TSRA BKN042CB OVC200 23/17 A2990 RMK AO2 PK WND 19035/0502 RAB17 TSB19 FRQ LTGICCCCG TS OHD MOV NE P0000 T02330172 $
BNA,2026-04-28 05:53,-86.6892,36.1189,180.00,-TSRA BR,KBNA 280553Z 20017G30KT 3SM -TSRA BR BKN047CB BKN095 OVC120 21/18 A2990 RMK AO2 PK WND 19035/0502 RAB17 TSB19 SLP119 FRQ LTGICCCCG OHD TS OHD MOV NE P0000 60000 T02110183 10267 20211 402890161 55001 $
BNA,2026-04-28 06:17,-86.6892,36.1189,180.00,TSRA BR,KBNA 280617Z COR 26013G20KT 1 3/4SM TSRA BR SCT045CB BKN070 OVC100 21/18 A2996 RMK AO2 PK WND 20032/0603 PRESRR FRQ LTGICCCCCG OHD TS OHD MOV NE P0018 T02110183 $
BNA,2026-04-28 06:40,-86.6892,36.1189,180.00,+TSRA BR,KBNA 280640Z 19006KT 1 1/2SM +TSRA BR BKN028CB BKN035 OVC050 21/18 A2992 RMK AO2 PK WND 20032/0603 PRESFR FRQ LGTICCCCG OHD TS OHD MOV NE P0070 T02060183 $
BNA,2026-04-28 06:53,-86.6892,36.1189,180.00,+TSRA BR,KBNA 280653Z 17008G37KT 1 3/4SM +TSRA BR BKN033CB BKN044 OVC050 24/17 A2991 RMK AO2 PK WND 20037/0646 SLP122 FRQ LGTICCCCG OHD TS OHD MOV NE P0086 T02390172 $
BNA,2026-04-28 07:16,-86.6892,36.1189,180.00,-TSRA,KBNA 280716Z COR 17011G19KT 10SM -TSRA BKN025CB OVC036 22/18 A2991 RMK AO2 FRQ LTGICCCCG OHD TS OHD MOV NE P0004 T02170178 $
BNA,2026-04-28 07:49,-86.6892,36.1189,180.00,TS,KBNA 280749Z 29015G23KT 10SM TS BKN060CB OVC110 21/18 A2998 RMK AO2 WSHFT 0735 RAE17 PRESRR FRQ LTGICCCCG OHD TS OHD MOV NE P0004 $
BNA,2026-04-28 07:53,-86.6892,36.1189,180.00,-TSRA,KBNA 280753Z 29017G29KT 9SM -TSRA BKN060CB OVC110 21/18 A3000 RMK AO2 PK WND 29029/0752 WSHFT 0735 RAE17B51 PRESRR SLP152 FRQ LTGICCCCG OHD TS OHD MOV NE P0004 T02110178 $
