station,valid,lon,lat,elevation,wxcodes,metar
CLT,2025-06-28 00:04,-80.9543,35.2225,228.00,-RA,KCLT 280004Z 21006KT 10SM -RA FEW055 FEW120 BKN250 26/20 A3006 RMK AO2 TSE03 TS DSIPTD CB DSNT SW P0000 T02560200
CLT,2025-06-28 00:52,-80.9543,35.2225,228.00,M,KCLT 280052Z 18003KT 10SM FEW055 FEW120 BKN190 26/21 A3006 RMK AO2 RAE44 TSE03 SLP184 TS DSIPTD P0000 T02560206
CLT,2025-06-28 01:52,-80.9543,35.2225,228.00,M,KCLT 280152Z 13004KT 10SM CLR 26/21 A3012 RMK AO2 SLP202 T02560211
CLT,2025-06-28 02:52,-80.9543,35.2225,228.00,M,KCLT 280252Z 14005KT 10SM FEW065 SCT080 BKN120 BKN250 25/21 A3013 RMK AO2 LTG DSNT N AND NE SLP207 60000 T02500211 53021
CLT,2025-06-28 03:52,-80.9543,35.2225,228.00,M,KCLT 280352Z VRB03KT 10SM FEW060 FEW120 BKN180 26/21 A3013 RMK AO2 SLP206 OCNL LTG DSNT N CB DSNT N T02560211
CLT,2025-06-28 04:52,-80.9543,35.2225,228.00,M,KCLT 280452Z 13005KT 10SM BKN055 BKN090 BKN160 BKN250 25/21 A3013 RMK AO2 SLP207 FRQ LTG DSNT N AND NE CB DSNT N AND NE T02500211 403560228
CLT,2025-06-28 05:52,-80.9543,35.2225,228.00,M,KCLT 280552Z 20005KT 10SM FEW055 FEW160 SCT250 25/22 A3011 RMK AO2 SLP200 FRQ LTG DSNT NE CB DSNT NE 60000 T02500217 10261 20244 58006
CLT,2025-06-28 06:52,-80.9543,35.2225,228.00,M,KCLT 280652Z 00000KT 10SM FEW050 FEW110 SCT250 25/22 A3011 RMK AO2 SLP199 T02500217
CLT,2025-06-28 07:52,-80.9543,35.2225,228.00,M,KCLT 280752Z 18003KT 10SM CLR 25/21 A3010 RMK AO2 SLP197 T02500211
CLT,2025-06-28 08:52,-80.9543,35.2225,228.00,M,KCLT 280852Z 13004KT 9SM FEW150 24/21 A3010 RMK AO2 SLP198 T02390211 55002
CLT,2025-06-28 09:52,-80.9543,35.2225,228.00,M,KCLT 280952Z 18005KT 9SM FEW150 24/21 A3010 RMK AO2 SLP198 T02390206
CLT,2025-06-28 10:52,-80.9543,35.2225,228.00,M,KCLT 281052Z 25003KT 8SM FEW250 23/21 A3012 RMK AO2 SLP204 T02330206
CLT,2025-06-28 11:52,-80.9543,35.2225,228.00,M,KCLT 281152Z 25006KT 9SM FEW250 24/21 A3013 RMK AO2 SLP209 T02440206 10250 20233 53010
CLT,2025-06-28 12:52,-80.9543,35.2225,228.00,M,KCLT 281252Z VRB03KT 9SM FEW250 26/21 A3014 RMK AO2 SLP211 T02610211
CLT,2025-06-28 13:52,-80.9543,35.2225,228.00,M,KCLT 281352Z VRB03KT 10SM FEW250 28/21 A3014 RMK AO2 SLP212 T02830211
CLT,2025-06-28 14:52,-80.9543,35.2225,228.00,M,KCLT 281452Z VRB04KT 10SM FEW030 FEW250 29/21 A3014 RMK AO2 SLP211 T02940211 50002
CLT,2025-06-28 15:52,-80.9543,35.2225,228.00,M,KCLT 281552Z VRB03KT 10SM FEW035 SCT250 30/22 A3013 RMK AO2 SLP209 T03000217
CLT,2025-06-28 16:52,-80.9543,35.2225,228.00,M,KCLT 281652Z 22007KT 10SM SCT040 SCT250 32/22 A3013 RMK AO2 SLP206 TCU DSNT N AND E T03220217
